nid,uid,calendar_status,available_days_30,available_days_60,available_days_90,available_days_180,available_days_365,note
68.0,55.0,blocked,0.0,0.0,0.0,0.0,0.0,
76.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
79.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
80.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
82.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
86.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
90.0,55.0,blocked,0.0,0.0,0.0,0.0,0.0,
94.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
95.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
169.0,121.0,open,0.0,0.0,0.0,0.0,0.0,
612.0,1261.0,open,0.0,0.0,0.0,83.0,225.0,
615.0,1261.0,open,0.0,0.0,17.0,107.0,258.0,
622.0,1261.0,open,11.0,11.0,40.0,130.0,310.0,
632.0,1261.0,open,0.0,0.0,10.0,100.0,280.0,
673.0,1400.0,open,30.0,58.0,88.0,163.0,330.0,
711.0,1400.0,blocked,24.0,41.0,71.0,161.0,346.0,
758.0,1400.0,blocked,0.0,0.0,0.0,0.0,0.0,
771.0,1400.0,open,0.0,0.0,0.0,0.0,0.0,
807.0,1400.0,open,20.0,43.0,73.0,163.0,346.0,
820.0,1400.0,open,0.0,0.0,0.0,0.0,0.0,
936.0,1461.0,open,0.0,9.0,9.0,9.0,9.0,
1191.0,1261.0,open,2.0,2.0,12.0,102.0,282.0,
2179.0,3.0,blocked,16.0,16.0,16.0,16.0,16.0,
3068.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
3138.0,3161.0,blocked,0.0,0.0,0.0,0.0,0.0,
3183.0,3161.0,blocked,0.0,0.0,0.0,0.0,0.0,
3772.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3775.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3776.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3778.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3783.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3794.0,4136.0,open,0.0,0.0,0.0,0.0,0.0,
3798.0,4136.0,open,0.0,0.0,0.0,0.0,0.0,
3801.0,4136.0,blocked,0.0,7.0,37.0,59.0,59.0,
3813.0,4136.0,open,0.0,0.0,0.0,0.0,0.0,
3819.0,4136.0,open,0.0,0.0,0.0,3.0,3.0,
4103.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
4115.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
4125.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
5843.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
5867.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
5888.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
5918.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
5923.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
6039.0,1261.0,open,0.0,0.0,0.0,0.0,4.0,
6160.0,9127.0,open,0.0,0.0,0.0,0.0,0.0,
6166.0,9127.0,open,0.0,0.0,0.0,0.0,0.0,
6210.0,9127.0,open,0.0,0.0,0.0,0.0,0.0,
6229.0,9127.0,open,0.0,0.0,0.0,0.0,0.0,
6243.0,9127.0,open,0.0,0.0,0.0,0.0,0.0,
6466.0,11820.0,open,0.0,0.0,0.0,0.0,0.0,
6611.0,14028.0,open,0.0,0.0,0.0,0.0,0.0,
6631.0,14028.0,open,0.0,0.0,0.0,0.0,0.0,
43688.0,6466.0,open,0.0,0.0,0.0,0.0,0.0,
44288.0,29083.0,blocked,0.0,5.0,35.0,125.0,302.0,
44294.0,29083.0,blocked,0.0,9.0,26.0,84.0,261.0,
44298.0,29083.0,blocked,3.0,19.0,46.0,133.0,310.0,
44299.0,29083.0,blocked,0.0,13.0,30.0,95.0,272.0,
44316.0,29083.0,blocked,3.0,3.0,8.0,98.0,183.0,
44318.0,29083.0,blocked,3.0,12.0,29.0,112.0,289.0,
44328.0,29083.0,blocked,0.0,2.0,12.0,56.0,233.0,
44329.0,29083.0,blocked,7.0,8.0,26.0,104.0,275.0,
44427.0,38145.0,open,6.0,6.0,6.0,13.0,59.0,
44428.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
44437.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
44438.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
44441.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
44442.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
44451.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
44506.0,4136.0,open,0.0,0.0,0.0,0.0,0.0,
44679.0,46739.0,open,0.0,0.0,0.0,0.0,0.0,
44687.0,46739.0,open,0.0,0.0,0.0,0.0,0.0,
44693.0,29083.0,blocked,23.0,34.0,64.0,154.0,331.0,
44697.0,29083.0,blocked,6.0,15.0,45.0,118.0,297.0,
44702.0,29083.0,blocked,0.0,0.0,0.0,0.0,0.0,
44706.0,29083.0,blocked,3.0,3.0,14.0,98.0,275.0,
44856.0,50577.0,open,19.0,32.0,62.0,150.0,331.0,
44873.0,50577.0,open,29.0,59.0,89.0,164.0,315.0,
44894.0,50577.0,open,28.0,53.0,83.0,163.0,335.0,
44898.0,50577.0,open,30.0,60.0,90.0,175.0,358.0,
44907.0,50577.0,open,28.0,58.0,88.0,158.0,310.0,
45159.0,29083.0,blocked,3.0,19.0,36.0,120.0,297.0,
45748.0,48445.0,open,0.0,0.0,0.0,0.0,0.0,
45770.0,48445.0,open,0.0,0.0,0.0,0.0,0.0,
45867.0,1461.0,open,2.0,6.0,8.0,8.0,8.0,
45882.0,1461.0,open,0.0,0.0,0.0,0.0,0.0,
48034.0,29083.0,blocked,7.0,13.0,37.0,127.0,304.0,
48036.0,29083.0,blocked,10.0,19.0,49.0,133.0,310.0,
48410.0,29083.0,blocked,16.0,17.0,29.0,113.0,290.0,
48412.0,29083.0,blocked,0.0,15.0,26.0,110.0,284.0,
48666.0,29083.0,blocked,10.0,21.0,45.0,135.0,306.0,
48671.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
49549.0,83503.0,open,0.0,0.0,0.0,0.0,0.0,
49770.0,86327.0,open,0.0,0.0,0.0,0.0,0.0,
50654.0,29083.0,blocked,3.0,3.0,24.0,92.0,269.0,
50926.0,3161.0,blocked,0.0,0.0,0.0,0.0,0.0,
50953.0,29083.0,blocked,0.0,0.0,10.0,88.0,265.0,
51269.0,29083.0,blocked,28.0,49.0,56.0,141.0,320.0,
52726.0,29083.0,blocked,0.0,9.0,39.0,122.0,301.0,
52982.0,29083.0,blocked,12.0,12.0,35.0,125.0,304.0,
52984.0,29083.0,blocked,20.0,51.0,81.0,171.0,350.0,
52985.0,29083.0,blocked,16.0,45.0,75.0,159.0,338.0,
52986.0,29083.0,blocked,16.0,46.0,76.0,166.0,345.0,
52987.0,29083.0,blocked,22.0,38.0,68.0,148.0,327.0,
53641.0,111411.0,blocked,0.0,0.0,0.0,0.0,0.0,
53683.0,111411.0,blocked,0.0,0.0,0.0,0.0,0.0,
53696.0,111411.0,blocked,0.0,0.0,0.0,0.0,0.0,
53830.0,111413.0,open,9.0,30.0,53.0,143.0,317.0,
54122.0,111413.0,open,30.0,57.0,83.0,169.0,345.0,
54192.0,111413.0,open,30.0,60.0,90.0,180.0,356.0,
54601.0,111413.0,open,30.0,60.0,90.0,180.0,356.0,
54645.0,29083.0,blocked,0.0,0.0,0.0,52.0,154.0,
54646.0,29083.0,blocked,7.0,23.0,27.0,45.0,136.0,
54842.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54845.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54862.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54867.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54868.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54870.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54877.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54885.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54886.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54889.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54891.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54898.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54901.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54904.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54909.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54917.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54932.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54935.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54946.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54947.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54954.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54964.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
55121.0,14028.0,open,0.0,0.0,0.0,0.0,0.0,
55226.0,29083.0,blocked,0.0,10.0,40.0,125.0,302.0,
55227.0,29083.0,blocked,0.0,0.0,0.0,39.0,216.0,
55898.0,128656.0,open,0.0,0.0,0.0,0.0,0.0,
55960.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
56036.0,128656.0,open,0.0,0.0,0.0,0.0,0.0,
56112.0,128656.0,open,0.0,0.0,0.0,0.0,0.0,
56129.0,128656.0,open,23.0,23.0,32.0,113.0,283.0,
56132.0,128656.0,open,0.0,0.0,16.0,97.0,270.0,
56182.0,128656.0,open,0.0,0.0,0.0,0.0,0.0,
56197.0,128656.0,open,0.0,0.0,0.0,0.0,0.0,
56204.0,29083.0,blocked,3.0,3.0,11.0,48.0,194.0,
56205.0,29083.0,blocked,0.0,9.0,19.0,82.0,258.0,
