nid,uid,calendar_status,available_days_30,available_days_60,available_days_90,available_days_180,available_days_365,note
76.0,55.0,blocked,0.0,0.0,0.0,0.0,0.0,
79.0,55.0,blocked,0.0,0.0,0.0,0.0,0.0,
80.0,55.0,blocked,0.0,0.0,0.0,0.0,0.0,
82.0,55.0,blocked,0.0,0.0,0.0,0.0,0.0,
237.0,142.0,open,0.0,0.0,0.0,0.0,0.0,
705.0,1400.0,open,0.0,0.0,0.0,0.0,0.0,
748.0,1400.0,open,0.0,0.0,0.0,0.0,2.0,
841.0,1400.0,open,0.0,0.0,0.0,0.0,0.0,
862.0,1400.0,blocked,0.0,0.0,0.0,0.0,0.0,
983.0,1461.0,open,0.0,0.0,0.0,0.0,0.0,
999.0,1461.0,open,0.0,3.0,3.0,3.0,3.0,
1024.0,1461.0,open,0.0,0.0,0.0,0.0,0.0,
1038.0,1461.0,blocked,0.0,0.0,0.0,0.0,0.0,
1115.0,142.0,open,0.0,0.0,0.0,0.0,0.0,
3073.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
3093.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
3202.0,3161.0,blocked,0.0,0.0,0.0,0.0,0.0,
3407.0,3554.0,blocked,28.0,43.0,50.0,138.0,183.0,
3413.0,3554.0,blocked,0.0,11.0,28.0,118.0,166.0,
3427.0,3554.0,blocked,30.0,39.0,39.0,111.0,261.0,
3477.0,3554.0,blocked,0.0,2.0,2.0,2.0,4.0,
3504.0,3554.0,blocked,0.0,0.0,0.0,0.0,0.0,
3513.0,3554.0,blocked,25.0,45.0,52.0,133.0,274.0,
3531.0,3554.0,blocked,30.0,60.0,83.0,153.0,303.0,
3542.0,3554.0,blocked,30.0,60.0,90.0,180.0,330.0,
3587.0,3554.0,blocked,30.0,56.0,81.0,171.0,321.0,
3599.0,3554.0,blocked,23.0,48.0,63.0,147.0,297.0,
3604.0,3554.0,blocked,30.0,54.0,71.0,157.0,307.0,
3630.0,3554.0,blocked,30.0,56.0,70.0,127.0,277.0,
3731.0,4045.0,blocked,30.0,60.0,90.0,180.0,240.0,
3772.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3846.0,4136.0,blocked,0.0,0.0,0.0,0.0,0.0,
5831.0,7454.0,blocked,0.0,0.0,0.0,0.0,0.0,
5840.0,7454.0,blocked,0.0,0.0,0.0,0.0,0.0,
5891.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
5894.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
6147.0,9127.0,blocked,0.0,0.0,0.0,0.0,0.0,
6166.0,9127.0,blocked,0.0,0.0,0.0,0.0,0.0,
6275.0,10348.0,blocked,30.0,55.0,85.0,147.0,327.0,
6277.0,10348.0,blocked,17.0,35.0,54.0,115.0,281.0,
6466.0,11820.0,blocked,0.0,0.0,0.0,0.0,0.0,
6588.0,14028.0,blocked,0.0,0.0,0.0,0.0,0.0,
6600.0,14028.0,blocked,30.0,60.0,85.0,175.0,200.0,
6611.0,14028.0,blocked,0.0,0.0,0.0,0.0,0.0,
6625.0,14028.0,open,0.0,0.0,0.0,0.0,0.0,
6631.0,14028.0,open,0.0,0.0,0.0,0.0,0.0,
6688.0,14028.0,blocked,30.0,51.0,69.0,160.0,185.0,
43189.0,278831.0,blocked,0.0,0.0,0.0,0.0,0.0,
43190.0,278831.0,blocked,0.0,0.0,0.0,0.0,0.0,
43191.0,278831.0,blocked,0.0,0.0,0.0,0.0,0.0,
43261.0,278831.0,blocked,0.0,0.0,0.0,0.0,128.0,
43276.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
43280.0,3161.0,open,0.0,2.0,2.0,2.0,2.0,
43688.0,6466.0,open,0.0,0.0,0.0,0.0,0.0,
44294.0,29083.0,open,0.0,23.0,39.0,107.0,211.0,
