Channel ID,Overall,Property amenities,Room amenities,Policies and deposits,Photos
36839674,Poor(30%),Poor(20%),Poor(45%),Poor(16%),Poor(30%)
36980016,Standard(68%),Standard(63%),Strong(84%),Standard(50%),Standard(67%)
36806944,Poor(41%),Standard(72%),Strong(85%),Standard(50%),Poor(18%)
36806877,Poor(41%),Poor(31%),Poor(40%),Poor(16%),Poor(45%)
