nid,uid,calendar_status,available_days_30,available_days_60,available_days_90,available_days_180,available_days_365,note
3073.0,3161.0,open,4.0,4.0,4.0,4.0,4.0,
3772.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3775.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3776.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3778.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3783.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
56284.0,129656.0,open,18.0,46.0,70.0,154.0,291.0,
67711.0,3161.0,open,0.0,0.0,0.0,3.0,3.0,
73477.0,171040.0,open,6.0,10.0,16.0,16.0,24.0,
73982.0,170446.0,blocked,26.0,53.0,83.0,173.0,268.0,
73983.0,170446.0,blocked,30.0,60.0,90.0,180.0,275.0,
73984.0,170446.0,blocked,30.0,60.0,90.0,180.0,275.0,
73986.0,170446.0,blocked,23.0,53.0,83.0,173.0,261.0,
73988.0,170446.0,blocked,30.0,60.0,90.0,180.0,275.0,
73989.0,170446.0,blocked,30.0,60.0,90.0,180.0,275.0,
73991.0,170446.0,blocked,30.0,60.0,90.0,180.0,275.0,
73993.0,170446.0,blocked,27.0,57.0,87.0,177.0,272.0,
75338.0,176118.0,blocked,14.0,44.0,71.0,157.0,269.0,
75339.0,176118.0,blocked,10.0,40.0,62.0,143.0,229.0,
75340.0,176118.0,blocked,30.0,59.0,82.0,169.0,281.0,
75341.0,176118.0,blocked,30.0,60.0,87.0,173.0,285.0,
75342.0,176118.0,blocked,15.0,45.0,72.0,154.0,266.0,
75343.0,176118.0,blocked,30.0,60.0,87.0,172.0,284.0,
75344.0,176118.0,blocked,29.0,59.0,86.0,172.0,284.0,
75349.0,176118.0,blocked,29.0,55.0,82.0,168.0,280.0,
75352.0,176118.0,blocked,29.0,59.0,86.0,172.0,284.0,
75354.0,176118.0,blocked,3.0,33.0,60.0,146.0,258.0,
75355.0,176118.0,blocked,25.0,55.0,82.0,168.0,280.0,
75357.0,176118.0,blocked,15.0,45.0,72.0,158.0,270.0,
75359.0,176118.0,blocked,30.0,59.0,86.0,172.0,284.0,
75361.0,176118.0,blocked,22.0,51.0,78.0,158.0,270.0,
75363.0,176118.0,blocked,30.0,60.0,87.0,173.0,285.0,
75365.0,176118.0,blocked,30.0,60.0,87.0,173.0,285.0,
75366.0,176118.0,blocked,30.0,59.0,86.0,172.0,284.0,
75367.0,176118.0,blocked,20.0,44.0,71.0,156.0,263.0,
75368.0,176118.0,blocked,30.0,60.0,87.0,173.0,285.0,
75372.0,176118.0,blocked,15.0,45.0,72.0,158.0,270.0,
75373.0,176118.0,blocked,28.0,58.0,81.0,165.0,277.0,
75378.0,176118.0,blocked,30.0,60.0,87.0,173.0,285.0,
75380.0,176118.0,blocked,0.0,0.0,27.0,108.0,220.0,
75382.0,176118.0,blocked,25.0,54.0,81.0,164.0,276.0,
75384.0,176118.0,blocked,17.0,46.0,73.0,159.0,271.0,
75385.0,176118.0,blocked,0.0,15.0,42.0,128.0,240.0,
75388.0,176118.0,blocked,30.0,60.0,84.0,170.0,282.0,
75389.0,176118.0,blocked,30.0,60.0,87.0,173.0,285.0,
75391.0,176118.0,blocked,0.0,29.0,56.0,142.0,254.0,
75396.0,176118.0,blocked,15.0,44.0,71.0,157.0,269.0,
75397.0,176118.0,blocked,30.0,59.0,86.0,172.0,280.0,
