nid,uid,calendar_status,available_days_30,available_days_60,available_days_90,available_days_180,available_days_365,note
68.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
76.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
79.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
80.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
82.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
86.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
90.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
94.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
95.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
169.0,121.0,open,0.0,0.0,0.0,0.0,0.0,
612.0,1261.0,open,0.0,0.0,0.0,77.0,225.0,
615.0,1261.0,open,1.0,1.0,12.0,102.0,258.0,
622.0,1261.0,open,17.0,17.0,40.0,130.0,315.0,
632.0,1261.0,open,0.0,0.0,4.0,94.0,279.0,
711.0,1400.0,blocked,23.0,39.0,69.0,159.0,344.0,
771.0,1400.0,open,0.0,0.0,0.0,0.0,0.0,
820.0,1400.0,open,0.0,0.0,0.0,0.0,0.0,
936.0,1461.0,open,0.0,9.0,9.0,9.0,9.0,
1191.0,1261.0,open,7.0,7.0,11.0,101.0,286.0,
2179.0,3.0,open,20.0,20.0,20.0,20.0,20.0,
2933.0,55.0,open,30.0,60.0,90.0,180.0,270.0,
3068.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
3138.0,3161.0,blocked,0.0,0.0,0.0,0.0,0.0,
3183.0,3161.0,blocked,0.0,0.0,0.0,0.0,0.0,
3772.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3775.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3776.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3778.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3783.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3794.0,4136.0,open,0.0,0.0,0.0,0.0,0.0,
3798.0,4136.0,open,0.0,0.0,0.0,0.0,0.0,
3801.0,4136.0,blocked,0.0,0.0,31.0,59.0,59.0,
3813.0,4136.0,open,0.0,0.0,0.0,0.0,0.0,
3819.0,4136.0,open,0.0,0.0,0.0,3.0,3.0,
4103.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
4115.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
4125.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
5843.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
5867.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
5888.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
5891.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
5894.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
5923.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
6039.0,1261.0,open,0.0,0.0,0.0,0.0,3.0,
6210.0,9127.0,open,0.0,0.0,0.0,0.0,0.0,
6229.0,9127.0,open,0.0,0.0,0.0,0.0,0.0,
6243.0,9127.0,open,0.0,0.0,0.0,0.0,0.0,
6466.0,11820.0,open,0.0,0.0,0.0,0.0,0.0,
6611.0,14028.0,open,0.0,0.0,0.0,0.0,0.0,
6660.0,14028.0,open,0.0,0.0,0.0,64.0,213.0,
43688.0,6466.0,open,0.0,0.0,0.0,0.0,0.0,
44424.0,38145.0,open,13.0,38.0,57.0,57.0,57.0,
44425.0,38145.0,open,14.0,40.0,68.0,68.0,68.0,
44426.0,38145.0,open,14.0,40.0,51.0,51.0,51.0,
44427.0,38145.0,open,6.0,6.0,6.0,13.0,59.0,
44428.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
44437.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
44438.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
44441.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
44442.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
44451.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
44702.0,29083.0,open,0.0,0.0,0.0,0.0,0.0,
44856.0,50577.0,open,17.0,27.0,57.0,147.0,328.0,
44907.0,50577.0,open,26.0,56.0,86.0,162.0,308.0,
45748.0,48445.0,open,0.0,0.0,0.0,0.0,0.0,
45770.0,48445.0,open,0.0,0.0,0.0,0.0,0.0,
45867.0,1461.0,open,2.0,6.0,8.0,8.0,8.0,
45882.0,1461.0,open,0.0,0.0,0.0,0.0,0.0,
46021.0,3057.0,blocked,30.0,60.0,90.0,180.0,302.0,
46083.0,3057.0,blocked,0.0,0.0,0.0,0.0,7.0,
46084.0,3057.0,blocked,0.0,0.0,0.0,0.0,7.0,
46085.0,3057.0,blocked,0.0,0.0,0.0,0.0,7.0,
48671.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
49770.0,86327.0,open,0.0,0.0,0.0,0.0,0.0,
50926.0,3161.0,blocked,0.0,0.0,0.0,0.0,0.0,
53641.0,111411.0,blocked,0.0,0.0,0.0,0.0,0.0,
53669.0,111411.0,open,0.0,0.0,0.0,8.0,44.0,
53683.0,111411.0,blocked,0.0,0.0,0.0,0.0,0.0,
53696.0,111411.0,blocked,0.0,0.0,0.0,0.0,0.0,
54845.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54867.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54898.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54901.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54904.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
55121.0,14028.0,open,0.0,0.0,0.0,0.0,0.0,
55898.0,128656.0,open,0.0,0.0,0.0,0.0,0.0,
55960.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
56251.0,129656.0,blocked,0.0,0.0,0.0,0.0,4.0,
56283.0,129656.0,open,0.0,0.0,0.0,0.0,0.0,
56296.0,129656.0,open,0.0,0.0,0.0,0.0,4.0,
56305.0,129588.0,blocked,0.0,0.0,0.0,0.0,0.0,
56312.0,129588.0,open,0.0,0.0,0.0,0.0,0.0,
56321.0,129588.0,open,0.0,0.0,0.0,0.0,0.0,
56341.0,129588.0,open,0.0,0.0,0.0,0.0,0.0,
56343.0,129588.0,open,0.0,0.0,0.0,0.0,0.0,
56344.0,129588.0,open,0.0,0.0,0.0,0.0,0.0,
56345.0,129588.0,open,0.0,0.0,0.0,0.0,0.0,
56423.0,129588.0,open,0.0,0.0,0.0,0.0,0.0,
56465.0,129588.0,open,0.0,0.0,0.0,0.0,0.0,
