nid,uid,calendar_status,available_days_30,available_days_60,available_days_90,available_days_180,available_days_365,note
54842.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54845.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54862.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54867.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54868.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54870.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54877.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54885.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54886.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54889.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54891.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54898.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54901.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54904.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54909.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54917.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54932.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54935.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54946.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54947.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54954.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
54964.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
55121.0,14028.0,open,0.0,0.0,0.0,0.0,0.0,
55195.0,74576.0,open,3.0,3.0,3.0,5.0,5.0,
55734.0,127485.0,open,0.0,0.0,0.0,0.0,0.0,
55821.0,128656.0,blocked,0.0,0.0,0.0,0.0,0.0,
55898.0,128656.0,blocked,0.0,6.0,12.0,12.0,12.0,
55906.0,128656.0,open,22.0,37.0,56.0,79.0,79.0,
55979.0,129997.0,blocked,27.0,57.0,85.0,175.0,229.0,
55995.0,129997.0,blocked,0.0,0.0,23.0,111.0,296.0,
56112.0,128656.0,blocked,0.0,0.0,0.0,0.0,0.0,
56120.0,128656.0,blocked,0.0,0.0,0.0,0.0,0.0,
56181.0,128656.0,blocked,0.0,0.0,0.0,0.0,0.0,
56182.0,128656.0,blocked,0.0,0.0,0.0,0.0,0.0,
56197.0,128656.0,blocked,0.0,0.0,0.0,0.0,0.0,
56204.0,29083.0,blocked,8.0,17.0,47.0,97.0,252.0,
