id,ext_name,type,facility_name
39570,2nd fl 2 twins,accommodations,twin beds
39490,2nd fl bnk twin,accommodations,twin beds
41347,5th 2 twins,accommodations,twin beds
39291,a twin,accommodations,twin beds
48456,additional bedding 2 - twin,accommodations,twin beds
49115,additional bedding 3 - twin,accommodations,twin beds
48300,additional bedding 4 - twin,accommodations,twin beds
49598,additional bedding 5 - 2 twin,accommodations,twin beds
49117,additional bedding 5 - twin,accommodations,twin beds
51273,additional bedding bed 2 - twin,accommodations,twin beds
78622,addl bedding bed  2 - twin in the loft,accommodations,twin beds
68462,addl bedding br 1 - single,accommodations,twin beds
69432,addl bedding br 2 - 2 singles,accommodations,twin beds
48704,addl bedding br 2 - single,accommodations,twin beds
68410,addl bedding br 3 - 2 singles,accommodations,twin beds
57598,addl bedding br 3 - single,accommodations,twin beds
69967,addl bedding br 4 - single,accommodations,twin beds
78012,bedding 1 additional -   2 twins,accommodations,twin beds
77838,bedding 1 additional -  / twin,accommodations,twin beds
77996,"bedding 1 additional - , 2 twin",accommodations,twin beds
77545,"bedding 1 additional - , twin",accommodations,twin beds
66077,bedding 1 additional - xl twin,accommodations,twin beds
77764,bedding 2 additional -   or twin,accommodations,twin beds
77461,bedding 2 additional -  / twin,accommodations,twin beds
53770,bedding 2 additional -  /twin,accommodations,twin beds
77778,bedding 2 additional -  & twin,accommodations,twin beds
78031,"bedding 2 additional - , 3 twin",accommodations,twin beds
77717,"bedding 2 additional - , trundle twin beds",accommodations,twin beds
66079,"bedding 2 additional - , twin",accommodations,twin beds
77693,"bedding 2 additional - , twin trundle",accommodations,twin beds
78027,bedding 2 additional - / twin,accommodations,twin beds
56828,bedding 2 additional - twin,accommodations,twin beds
67567,bedding 3 - 2 twins in loft,accommodations,twin beds
77647,bedding 3 additional -       and a twin,accommodations,twin beds
77688,bedding 3 additional -    2 twins,accommodations,twin beds
53869,bedding 3 additional -  / twin,accommodations,twin beds
77518,bedding 3 additional -  & twin,accommodations,twin beds
77823,"bedding 3 additional - , 2 twin",accommodations,twin beds
77694,"bedding 3 additional - , 2 twin trundle",accommodations,twin beds
77485,"bedding 3 additional - , 2 twins",accommodations,twin beds
77892,"bedding 3 additional - , 3 twin",accommodations,twin beds
53845,"bedding 3 additional - , twin",accommodations,twin beds
77699,bedding 3 additional - / twin,accommodations,twin beds
77759,bedding 3 additional - twin,accommodations,twin beds
77973,bedding 3 additional - w/ twin trundle,accommodations,twin beds
65184,"bedding 4 - 2 doubles, 2 twins",accommodations,twin beds
48170,bedding 4 - loft with 2 twins,accommodations,twin beds
77620,bedding 4 additional -  / twin,accommodations,twin beds
77750,"bedding 4 additional - , 2 twins",accommodations,twin beds
77991,"bedding 4 additional - , 3 twin",accommodations,twin beds
77535,"bedding 4 additional - , twin",accommodations,twin beds
77773,bedding 4 additional - / twin,accommodations,twin beds
53771,bedding 4 additional - /twin,accommodations,twin beds
53898,bedding 4 additional - + twin,accommodations,twin beds
77570,bedding 4 additional - twin,accommodations,twin beds
77474,"bedding 5 additional - , 2 twin",accommodations,twin beds
77548,"bedding 5 additional - , 3 twin",accommodations,twin beds
77878,"bedding 5 additional - , twin",accommodations,twin beds
77843,bedding 7 additional -  w/ twin,accommodations,twin beds
68043,bedding br 3 - 2 extra long singles,accommodations,twin beds
69322,bedding loft - 2 singles,accommodations,twin beds
67440,bedding rm3 - 2 twins in loft,accommodations,twin beds
66047,bedrm1 - 2 twins,accommodations,twin beds
60188,bedrm2 - 2 twin,accommodations,twin beds
58248,bedrm2 - 2 twins,accommodations,twin beds
77150,bedrm3 - 2 twin,accommodations,twin beds
47350,bedrm3 - 2 twins,accommodations,twin beds
48409,bedroom 2 - 2 twin,accommodations,twin beds
48440,bedroom 2 - twin,accommodations,twin beds
48293,bedroom 3 - 2 twin,accommodations,twin beds
49109,bedroom 3 - twin,accommodations,twin beds
48896,bedroom 4 - 2 twin,accommodations,twin beds
49112,bedroom 4 - twin,accommodations,twin beds
48355,bedroom 5 - 2 twin,accommodations,twin beds
49273,bedroom 5 - 4 twin,accommodations,twin beds
48895,bedroom 5 - twin,accommodations,twin beds
49088,bedroom 6 - 2 twin,accommodations,twin beds
49503,bedroom 6 - 3 twin,accommodations,twin beds
49314,bedroom 6 - twin,accommodations,twin beds
48360,bedroom 7 - 2 twin,accommodations,twin beds
49752,bedroom 7 - 3 twin,accommodations,twin beds
49099,bedroom 7 - twin,accommodations,twin beds
49032,bedroom 8 - 2 twin,accommodations,twin beds
49626,bedroom 8 - 4 twin,accommodations,twin beds
52034,br 2 bed1 - 2 twin trund,accommodations,twin beds
81514,br 3 bed1 - 2 twin trund,accommodations,twin beds
63943,br 3 bed2 - 2 twin trund,accommodations,twin beds
56620,br 4 bed1 - 2 twin trund,accommodations,twin beds
50729,guest bedroom 1 - 2 twins,accommodations,twin beds
46933,guest bedroom 2 - 2 twins,accommodations,twin beds
79682,guest bedroom 2 - 4 twins,accommodations,twin beds
50847,guest bedroom 3 - 2 twin,accommodations,twin beds
47941,guest bedroom bedding - 2 twin size,accommodations,twin beds
47942,guest bedroom bedding - 2 twin size,accommodations,twin beds
77857,loft additional bedding - 2 twin,accommodations,twin beds
9750,Number Twin Beds,accommodations,twin beds
80347,other bedding - 2 twin hideabeds,accommodations,twin beds
80019,other bedding - twin,accommodations,twin beds
53045,single br1 - 1,accommodations,twin beds
52670,single br1 - 2,accommodations,twin beds
52578,single br2 - 1,accommodations,twin beds
52543,single br2 - 2,accommodations,twin beds
52922,single br2 - 4,accommodations,twin beds
52409,single br3 - 1,accommodations,twin beds
52579,single br3 - 2,accommodations,twin beds
53514,single br3 - 3,accommodations,twin beds
53240,single br3 - 4,accommodations,twin beds
52848,single br4 - 1,accommodations,twin beds
52483,single br4 - 2,accommodations,twin beds
52905,single br4 - 3,accommodations,twin beds
53666,single br4 - 4,accommodations,twin beds
52700,single br5 - 1,accommodations,twin beds
53482,single br5 - 2,accommodations,twin beds
53346,single br5 - 3,accommodations,twin beds
53484,single br8 - 2,accommodations,twin beds
38881,sun rm 2 twins,accommodations,twin beds
46863,third bedroom bedding - twins,accommodations,twin beds
49847,twin - 1,accommodations,twin beds
51113,twin - 10,accommodations,twin beds
65695,twin - 12,accommodations,twin beds
48460,twin - 2,accommodations,twin beds
48314,twin - 3,accommodations,twin beds
46972,twin - 4,accommodations,twin beds
48900,twin - 5,accommodations,twin beds
49031,twin - 6,accommodations,twin beds
48396,twin - 7,accommodations,twin beds
49570,twin - 8,accommodations,twin beds
49509,twin - 9,accommodations,twin beds
38361,twin bed nook,accommodations,twin beds
40538,twin x 2,accommodations,twin beds
40285,"twin,",accommodations,twin beds
39352,twins - main level,accommodations,twin beds
39249,twins - upstairs,accommodations,twin beds
39343,twins downstairs,accommodations,twin beds
39340,twins xl,accommodations,twin beds
