id,ext_name,type,facility_name
39503,1st fl queen,accommodations,queen
39376,2nd fl queen,accommodations,queen
39419,2nd floor queen,accommodations,queen
39543,3rd fl loft queen,accommodations,queen
39502,3rd fl queen,accommodations,queen
39434,3rd floor queen,accommodations,queen
59150,a queen,accommodations,queen
38433,a queen murphy,accommodations,queen
49383,additional bedding 1 - queen,accommodations,queen
49189,additional bedding 2 - queen,accommodations,queen
49337,additional bedding 3 - 2 queen,accommodations,queen
49340,additional bedding 4 - 2 queen,accommodations,queen
66515,addl bedding bed 3 - 2 queens in the loft area,accommodations,queen
68566,addl bedding br 1 - queen,accommodations,queen
67724,addl bedding br 2 - queen,accommodations,queen
59566,addl bedding br 3 - queen,accommodations,queen
66118,bedding 2 additional - queen,accommodations,queen
67580,bedding 3 - queen in loft,accommodations,queen
66080,bedding additional - queen,accommodations,queen
57859,bedding bed 3 - 2 queen,accommodations,queen
69132,bedding lr - queen,accommodations,queen
69744,bedding lr - queen murphy bed,accommodations,queen
48070,bedding master - queen,accommodations,queen
67356,bedding rm3 - queen in loft,accommodations,queen
57578,bedding rm3 - queen murphy in den,accommodations,queen
48139,bedding rm7 - queen murphy bed,accommodations,queen
52341,bedrm1 - 1 queen,accommodations,queen
52249,bedrm1 - 1 queen (sleep number),accommodations,queen
58262,bedrm1 - 2 queen,accommodations,queen
52324,bedrm1 - queen,accommodations,queen
47381,bedrm2 - 1 queen,accommodations,queen
64687,bedrm2 - 2 queen,accommodations,queen
47348,bedrm2 - queen,accommodations,queen
77180,bedrm2 - queen queen,accommodations,queen
47334,bedrm3 - 1 queen,accommodations,queen
56793,bedrm3 - 2 queen,accommodations,queen
76853,bedrm3 - queen,accommodations,queen
76781,bedrm4 - 1 queen,accommodations,queen
48287,bedroom 1 - queen,accommodations,queen
48400,bedroom 2 - 2 queen,accommodations,queen
48292,bedroom 2 - queen,accommodations,queen
48405,bedroom 3 - 2 queen,accommodations,queen
48447,bedroom 3 - queen,accommodations,queen
49275,bedroom 4 - 2 queen,accommodations,queen
48357,bedroom 4 - queen,accommodations,queen
48918,bedroom 5 - 2 queen,accommodations,queen
48415,bedroom 5 - queen,accommodations,queen
48354,bedroom 6 - queen,accommodations,queen
49625,bedroom 7 - 2 queen,accommodations,queen
