id,ext_name,type,facility_name
48451,additional bedding 1 - double,accommodations,double beds
49560,additional bedding 2 - double,accommodations,double beds
48846,additional bedding 3 - double,accommodations,double beds
49859,additional bedding 4 - double,accommodations,double beds
66372,addl bedding bed  2 - additional full bed,accommodations,double beds
61278,addl bedding br 1 - double,accommodations,double beds
55294,addl bedding br 2 - double,accommodations,double beds
67948,addl bedding br 3 - double,accommodations,double beds
67543,bedding 2 - full,accommodations,double beds
77934,"bedding 2 additional - , double",accommodations,double beds
77822,bedding 3 - 2 full,accommodations,double beds
53767,bedding 3 - full,accommodations,double beds
77638,bedding 4 - full,accommodations,double beds
77997,"bedding 4 additional - , full",accommodations,double beds
77659,bedding 7 - full,accommodations,double beds
57628,bedding den - double,accommodations,double beds
55214,bedding lr - double,accommodations,double beds
80080,bedding rm 5 - 2 doubles,accommodations,double beds
53959,bedding rm2 - 2 doubles,accommodations,double beds
52301,bedrm1 - 1 full,accommodations,double beds
65975,bedrm1 - full,accommodations,double beds
66019,bedrm2 - 1 full,accommodations,double beds
66000,bedrm2 - 1 full (sleep number),accommodations,double beds
56781,bedrm2 - 2 full,accommodations,double beds
47278,bedrm2 - 2 fulls,accommodations,double beds
77048,bedrm3 -  full,accommodations,double beds
77207,bedrm3 - 1 full,accommodations,double beds
65994,bedrm3 - 2 fulls,accommodations,double beds
58421,bedrm3 - full,accommodations,double beds
48425,bedroom 1 - double,accommodations,double beds
48545,bedroom 2 - 2 double,accommodations,double beds
48894,bedroom 2 - double,accommodations,double beds
48546,bedroom 3 - 2 double,accommodations,double beds
48842,bedroom 3 - double,accommodations,double beds
48296,bedroom 4 - 2 double,accommodations,double beds
49234,bedroom 4 - double,accommodations,double beds
49720,bedroom 5 - 2 double,accommodations,double beds
49133,bedroom 5 - double,accommodations,double beds
49837,bedroom 6 - 2 double,accommodations,double beds
49839,bedroom 7 - double,accommodations,double beds
48899,double - 1,accommodations,double beds
48313,double - 2,accommodations,double beds
46971,double - 3,accommodations,double beds
48554,double - 4,accommodations,double beds
49846,double - 5,accommodations,double beds
51159,double - 6,accommodations,double beds
75618,double - 7,accommodations,double beds
51101,double - 8,accommodations,double beds
52577,double br2 - 1,accommodations,double beds
53416,double br2 - 2,accommodations,double beds
52614,double br3 - 1,accommodations,double beds
52883,double br3 - 2,accommodations,double beds
52482,double br4 - 1,accommodations,double beds
52975,double br4 - 2,accommodations,double beds
52699,double br5 - 1,accommodations,double beds
52676,double br5 - 2,accommodations,double beds
38780,doubles,accommodations,double beds
39188,full size,accommodations,double beds
59483,master bedroom bedding - full,accommodations,double beds
54010,other bedding - double,accommodations,double beds
