id,ext_name,type,facility_name
70479,King - 3,accommodations,king beds
49317,king - 4,accommodations,king beds
49328,king - 4,accommodations,king beds
70762,King - 4,accommodations,king beds
48951,king - 5,accommodations,king beds
49013,king - 5,accommodations,king beds
70537,King - 5,accommodations,king beds
49178,king - 6,accommodations,king beds
49204,king - 6,accommodations,king beds
70517,King - 6,accommodations,king beds
38397,king - cool gel,accommodations,king beds
39339,king - downstair,accommodations,king beds
39265,king - downstairs,accommodations,king beds
39253,king - upstairs,accommodations,king beds
40185,king *california,accommodations,king beds
39313,king bdrm,accommodations,king beds
46705,King bed,accommodations,king beds
43048,King Beds - 1,accommodations,king beds
43068,King Beds - 2,accommodations,king beds
52373,king br1 - 1,accommodations,king beds
52429,king br1 - 1,accommodations,king beds
86115,King BR1 - 1,accommodations,king beds
52374,king br2 - 1,accommodations,king beds
52431,king br2 - 1,accommodations,king beds
86207,King BR2 - 1,accommodations,king beds
52376,king br3 - 1,accommodations,king beds
52433,king br3 - 1,accommodations,king beds
86422,King BR3 - 1,accommodations,king beds
53096,king br4 - 1,accommodations,king beds
53102,king br4 - 1,accommodations,king beds
86312,King BR4 - 1,accommodations,king beds
53412,king br5 - 1,accommodations,king beds
53430,king br5 - 1,accommodations,king beds
86319,King BR5 - 1,accommodations,king beds
53414,king br6 - 1,accommodations,king beds
53432,king br6 - 1,accommodations,king beds
86316,King BR6 - 1,accommodations,king beds
53483,king br7 - 1,accommodations,king beds
53495,king br7 - 1,accommodations,king beds
86625,King BR7 - 1,accommodations,king beds
39811,king downstairs,accommodations,king beds
40178,king en-suite,accommodations,king beds
40209,king ensuite,accommodations,king beds
39467,king master,accommodations,king beds
40751,King Memory Gel Foam Mattress,accommodations,king beds
46332,King Memory Gel Foam Mattress,accommodations,king beds
46350,King Memory Gel Foam Mattress,accommodations,king beds
40115,king size,accommodations,king beds
39674,king split,accommodations,king beds
39810,king upstairs,accommodations,king beds
38431,king-twins together,accommodations,king beds
66119,loft additional bedding - king,accommodations,king beds
86038,Loft Additional Bedding - King,accommodations,king beds
99426,Loft Additional Bedding - King,accommodations,king beds
44153,Master - King - 1st Floor,accommodations,king beds
42695,Master - King - cool gel,accommodations,king beds
44003,Master - King - Upstairs,accommodations,king beds
44854,Master - King Split,accommodations,king beds
44892,Master - Splilt King,accommodations,king beds
44837,Master - Split King,accommodations,king beds
46861,master bedroom bedding - king,accommodations,king beds
46876,master bedroom bedding - king,accommodations,king beds
46896,Master Bedroom Bedding - King,accommodations,king beds
80106,other bedding - king,accommodations,king beds
80116,other bedding - king,accommodations,king beds
88828,Other Bedding - King,accommodations,king beds
39688,splilt king,accommodations,king beds
39662,split king,accommodations,king beds
39663,split king,accommodations,king beds
67260,third bedroom bedding - king,accommodations,king beds
67261,third bedroom bedding - king,accommodations,king beds
68553,Third Bedroom Bedding - King,accommodations,king beds
