id,name,ame,fac
87777,"tv options - directv with premium channels, nfl sunday ticket & blu-ray/dvd player",entertainment,Television
78973,"tv options - directv with premium channels, nfl sunday ticket & blu-ray/dvd player",entertainment,Television
66265,"tv options - directv with premium channels, nfl sunday ticket & blu-ray/dvd player",entertainment,Television
