id,ext_name,type,facility_name
39503,1st fl queen,accommodations,queen beds
39376,2nd fl queen,accommodations,queen beds
39419,2nd floor queen,accommodations,queen beds
39543,3rd fl loft queen,accommodations,queen beds
39502,3rd fl queen,accommodations,queen beds
39434,3rd floor queen,accommodations,queen beds
59150,a queen,accommodations,queen beds
38433,a queen murphy,accommodations,queen beds
49383,additional bedding 1 - queen,accommodations,queen beds
49395,additional bedding 1 - queen,accommodations,queen beds
70884,Additional Bedding 1 - Queen,accommodations,queen beds
49189,additional bedding 2 - queen,accommodations,queen beds
49206,additional bedding 2 - queen,accommodations,queen beds
70458,Additional Bedding 2 - Queen,accommodations,queen beds
49337,additional bedding 3 - 2 queen,accommodations,queen beds
49403,additional bedding 3 - 2 queen,accommodations,queen beds
70598,Additional Bedding 3 - 2 Queen,accommodations,queen beds
49340,additional bedding 4 - 2 queen,accommodations,queen beds
49407,additional bedding 4 - 2 queen,accommodations,queen beds
70590,Additional Bedding 4 - 2 Queen,accommodations,queen beds
66515,addl bedding bed 3 - 2 queens in the loft area,accommodations,queen beds
66534,addl bedding bed 3 - 2 queens in the loft area,accommodations,queen beds
88013,Addl Bedding Bed 3 - 2 queens in the loft area,accommodations,queen beds
68566,addl bedding br 1 - queen,accommodations,queen beds
68579,addl bedding br 1 - queen,accommodations,queen beds
71703,Addl Bedding BR 1 - Queen,accommodations,queen beds
67724,addl bedding br 2 - queen,accommodations,queen beds
67760,addl bedding br 2 - queen,accommodations,queen beds
71143,Addl Bedding BR 2 - Queen,accommodations,queen beds
59566,addl bedding br 3 - queen,accommodations,queen beds
59589,addl bedding br 3 - queen,accommodations,queen beds
74488,Addl Bedding BR 3 - Queen,accommodations,queen beds
55512,bed-queen total - 1,accommodations,queen beds
66605,Bed-Queen Total - 1,accommodations,queen beds
55527,bed-queen total - 2,accommodations,queen beds
66597,Bed-Queen Total - 2,accommodations,queen beds
50026,bed-queen total - 3,accommodations,queen beds
59224,Bed-Queen Total - 3,accommodations,queen beds
73193,bed-queen total - 4,accommodations,queen beds
76257,Bed-Queen Total - 4,accommodations,queen beds
61717,bed-queen total - 6,accommodations,queen beds
76944,Bed-Queen Total - 6,accommodations,queen beds
53812,bedding 1 - queen,accommodations,queen beds
70228,Bedding 1 - Queen,accommodations,queen beds
48207,bedding 2 - queen,accommodations,queen beds
66917,Bedding 2 - Queen,accommodations,queen beds
66118,bedding 2 additional - queen,accommodations,queen beds
