id,name,ame,fac
87777,"tv options - directv with premium channels, nfl sunday ticket & blu-ray/dvd player",entertainment,Unmapped
78973,"tv options - directv with premium channels, nfl sunday ticket & blu-ray/dvd player",entertainment,Unmapped
66265,"tv options - directv with premium channels, nfl sunday ticket & blu-ray/dvd player",entertainment,Unmapped
