id,ext_name,type,facility_name
39423,2nd floor king,accommodations,king beds
39515,3rd fl king,accommodations,king beds
39572,3rd fl loft king,accommodations,king beds
41354,5th fl king master,accommodations,king beds
41350,6th fl king,accommodations,king beds
41349,6th fl king master,accommodations,king beds
41713,Bed Size - 2 Kings,accommodations,king beds
44387,Bed Size 5th Rm: - Cabana King,accommodations,king beds
55507,bed-king total - 1,accommodations,king beds
76014,Bed-King Total - 1,accommodations,king beds
73061,bed-king total - 2,accommodations,king beds
76960,Bed-King Total - 2,accommodations,king beds
65505,bed-king total - 3,accommodations,king beds
66670,Bed-King Total - 3,accommodations,king beds
72827,bed-king total - 4,accommodations,king beds
76724,Bed-King Total - 4,accommodations,king beds
48136,bedding 1 - king,accommodations,king beds
70220,Bedding 1 - King,accommodations,king beds
55112,bedding 2 - king,accommodations,king beds
70215,Bedding 2 - King,accommodations,king beds
65186,bedding 3 - king,accommodations,king beds
66913,Bedding 3 - King,accommodations,king beds
57531,bedding 4 - king,accommodations,king beds
70272,Bedding 4 - King,accommodations,king beds
86377,Bedding 5 - King,accommodations,king beds
46917,bedding bed 1 - king,accommodations,king beds
47811,Bedding Bed 1 - King,accommodations,king beds
59843,bedding bed 1 - swing king,accommodations,king beds
80956,Bedding Bed 1 - Swing King,accommodations,king beds
46918,bedding bed 2 - king,accommodations,king beds
74530,Bedding Bed 2 - King,accommodations,king beds
54675,bedding bed 3 - king,accommodations,king beds
74544,Bedding Bed 3 - King,accommodations,king beds
59876,bedding bed 4 - king,accommodations,king beds
79779,Bedding Bed 4 - King,accommodations,king beds
48647,bedding br 1 - king,accommodations,king beds
71023,Bedding BR 1 - King,accommodations,king beds
59585,bedding br 2 - king,accommodations,king beds
71190,Bedding BR 2 - King,accommodations,king beds
48238,bedding master - king,accommodations,king beds
48239,bedding master - king,accommodations,king beds
65915,Bedding Master - King,accommodations,king beds
64750,bedding rm 5 - king,accommodations,king beds
88752,Bedding rm 5 - King,accommodations,king beds
53942,bedding rm1 - king,accommodations,king beds
66935,Bedding rm1 - King,accommodations,king beds
48246,bedding rm2 - king,accommodations,king beds
69928,Bedding rm2 - King,accommodations,king beds
48201,bedding rm3 - king,accommodations,king beds
