id,ext_name,type,facility_name
56924,bedding rm6 - queen,view,Unmapped
88687,Bedding rm6 - Queen,amenities,Unmapped
56925,bedding rm7 - queen,view,Unmapped
88960,Bedding rm7 - Queen,amenities,Unmapped
48209,bedding rm7 - queen murphy bed,view,Unmapped
70211,Bedding rm7 - Queen Murphy Bed,amenities,Unmapped
52348,bedrm1 - 1 queen,view,Unmapped
83495,BedRm1 - 1 Queen,amenities,Unmapped
83973,BedRm1 - 1 Queen,amenities,Unmapped
84726,BedRm1 - 1 QUEEN,amenities,Unmapped
97850,BedRm1 - 1 Queen,amenities,Unmapped
52264,bedrm1 - 1 queen (sleep number),view,Unmapped
84740,BedRm1 - 1 Queen (Sleep Number),amenities,Unmapped
58317,bedrm1 - 2 queen,view,Unmapped
85068,BedRm1 - 2 Queen,amenities,Unmapped
76892,bedrm1 - 2 queens,view,Unmapped
84021,BedRm1 - 2 Queens,amenities,Unmapped
52335,bedrm1 - queen,view,Unmapped
83964,BedRm1 - Queen,amenities,Unmapped
85624,BedRm1 - Queen,amenities,Unmapped
99362,BedRm1 - Queen,amenities,Unmapped
47420,bedrm2 - 1 queen,view,Unmapped
83440,BedRm2 - 1 Queen,amenities,Unmapped
84903,BedRm2 - 1 Queen,amenities,Unmapped
97768,BedRm2 - 1 Queen,amenities,Unmapped
64688,bedrm2 - 2 queen,view,Unmapped
84082,BedRm2 - 2 Queen,amenities,Unmapped
65884,bedrm2 - 2 queens,view,Unmapped
83713,BedRm2 - 2 Queens,amenities,Unmapped
47358,bedrm2 - queen,view,Unmapped
83585,BedRm2 - Queen,amenities,Unmapped
98432,BedRm2 - Queen,amenities,Unmapped
77183,bedrm2 - queen queen,view,Unmapped
84952,BedRm2 - Queen Queen,amenities,Unmapped
47344,bedrm3 - 1 queen,view,Unmapped
83557,BedRm3 - 1 Queen,amenities,Unmapped
56797,bedrm3 - 2 queen,view,Unmapped
85260,BedRm3 - 2 Queen,amenities,Unmapped
77099,bedrm3 - 2 queens,view,Unmapped
84786,BedRm3 - 2 Queens,amenities,Unmapped
76858,bedrm3 - queen,view,Unmapped
83856,BedRm3 - Queen,amenities,Unmapped
76802,bedrm4 - 1 queen,view,Unmapped
83699,BedRm4 - 1 Queen,amenities,Unmapped
48321,bedroom 1 - queen,view,Unmapped
70392,Bedroom 1 - Queen,amenities,Unmapped
48488,bedroom 2 - 2 queen,view,Unmapped
70543,Bedroom 2 - 2 Queen,amenities,Unmapped
48326,bedroom 2 - queen,view,Unmapped
70325,Bedroom 2 - Queen,amenities,Unmapped
48492,bedroom 3 - 2 queen,view,Unmapped
70573,Bedroom 3 - 2 Queen,amenities,Unmapped
48509,bedroom 3 - queen,view,Unmapped
70329,Bedroom 3 - Queen,amenities,Unmapped
49293,bedroom 4 - 2 queen,view,Unmapped
70567,Bedroom 4 - 2 Queen,amenities,Unmapped
48465,bedroom 4 - queen,view,Unmapped
70390,Bedroom 4 - Queen,amenities,Unmapped
48980,bedroom 5 - 2 queen,view,Unmapped
70799,Bedroom 5 - 2 Queen,amenities,Unmapped
48525,bedroom 5 - queen,view,Unmapped
70426,Bedroom 5 - Queen,amenities,Unmapped
48455,bedroom 6 - queen,view,Unmapped
70376,Bedroom 6 - Queen,amenities,Unmapped
49635,bedroom 7 - 2 queen,view,Unmapped
70868,Bedroom 7 - 2 Queen,amenities,Unmapped
49050,bedroom 7 - queen,view,Unmapped
70529,Bedroom 7 - Queen,amenities,Unmapped
49884,bedroom 8 - 2 queen,view,Unmapped
70391,Bedroom 8 - 2 Queen,amenities,Unmapped
49400,bedroom 8 - queen,view,Unmapped
70591,Bedroom 8 - Queen,amenities,Unmapped
45011,BedSize3 - QUEEN BED IN DEN,amenities,Unmapped
62199,br 1 bed1 - 2 queen beds,view,Unmapped
89399,BR 1 Bed1 - 2 Queen Beds,amenities,Unmapped
51601,br 1 bed1 - queen,view,Unmapped
89050,BR 1 Bed1 - Queen,amenities,Unmapped
52122,br 2 bed1 - 2 queen beds,view,Unmapped
89114,BR 2 Bed1 - 2 Queen Beds,amenities,Unmapped
51508,br 2 bed1 - queen,view,Unmapped
66849,BR 2 Bed1 - Queen,amenities,Unmapped
56478,br 2 bed2 - queen,view,Unmapped
91660,BR 2 Bed2 - Queen,amenities,Unmapped
51783,br 3 bed1 - 2 queen beds,view,Unmapped
90141,BR 3 Bed1 - 2 Queen Beds,amenities,Unmapped
51763,br 3 bed1 - queen,view,Unmapped
89132,BR 3 Bed1 - Queen,amenities,Unmapped
56482,br 3 bed2 - queen,view,Unmapped
89303,BR 3 Bed2 - Queen,amenities,Unmapped
51505,br 4 bed1 - queen,view,Unmapped
66864,BR 4 Bed1 - Queen,amenities,Unmapped
51632,br 5 bed1 - queen,view,Unmapped
66872,BR 5 Bed1 - Queen,amenities,Unmapped
65708,guest bedroom 1 - 2 queens,view,Unmapped
87366,Guest Bedroom 1 - 2 Queens,amenities,Unmapped
46952,guest bedroom 1 - queen,view,Unmapped
86876,Guest Bedroom 1 - Queen,amenities,Unmapped
79703,guest bedroom 2 - 2 queens,view,Unmapped
88548,Guest Bedroom 2 - 2 Queens,amenities,Unmapped
50826,guest bedroom 2 - queen,view,Unmapped
66772,Guest Bedroom 2 - Queen,amenities,Unmapped
79660,guest bedroom 3 - 2 queens,view,Unmapped
88501,Guest Bedroom 3 - 2 Queens,amenities,Unmapped
50827,guest bedroom 3 - queen,view,Unmapped
86913,Guest Bedroom 3 - Queen,amenities,Unmapped
48052,guest bedroom bedding - 2 queen,view,Unmapped
67635,Guest Bedroom Bedding - 2 Queen,amenities,Unmapped
46877,guest bedroom bedding - queen,view,Unmapped
46895,Guest Bedroom Bedding - Queen,amenities,Unmapped
42960,Master - A Queen Murphy,amenities,Unmapped
48014,master bedroom bedding - queen,view,Unmapped
67542,Master Bedroom Bedding - Queen,amenities,Unmapped
57521,master bedroom bedding - queen/queen,view,Unmapped
67632,Master Bedroom Bedding - Queen/Queen,amenities,Unmapped
79859,other bedding - 2 queens,view,Unmapped
88652,Other Bedding - 2 Queens,amenities,Unmapped
80342,other bedding - 3 queens,view,Unmapped
88973,Other Bedding - 3 Queens,amenities,Unmapped
58720,other bedding - queen,view,Unmapped
88616,Other Bedding - Queen,amenities,Unmapped
46981,queen - 1,view,Unmapped
70363,Queen - 1,amenities,Unmapped
49374,queen - 12,view,Unmapped
70597,Queen - 12,amenities,Unmapped
48320,queen - 2,view,Unmapped
66739,Queen - 2,amenities,Unmapped
48969,queen - 3,view,Unmapped
70637,Queen - 3,amenities,Unmapped
48458,queen - 4,view,Unmapped
70541,Queen - 4,amenities,Unmapped
48414,queen - 5,view,Unmapped
70552,Queen - 5,amenities,Unmapped
49729,queen - 6,view,Unmapped
70368,Queen - 6,amenities,Unmapped
49801,queen - 7,view,Unmapped
70816,Queen - 7,amenities,Unmapped
46686,Queen bed,amenities,Unmapped
43072,Queen Beds - 1,amenities,Unmapped
42999,Queen Beds - 2,amenities,Unmapped
43023,Queen Beds - 3,amenities,Unmapped
43097,Queen Beds - 4,amenities,Unmapped
52521,queen br1 - 1,view,Unmapped
86164,Queen BR1 - 1,amenities,Unmapped
52622,queen br1 - 2,view,Unmapped
86779,Queen BR1 - 2,amenities,Unmapped
52459,queen br2 - 1,view,Unmapped
86134,Queen BR2 - 1,amenities,Unmapped
52560,queen br2 - 2,view,Unmapped
86255,Queen BR2 - 2,amenities,Unmapped
52510,queen br3 - 1,view,Unmapped
86170,Queen BR3 - 1,amenities,Unmapped
52460,queen br4 - 1,view,Unmapped
86182,Queen BR4 - 1,amenities,Unmapped
52898,queen br4 - 2,view,Unmapped
86203,Queen BR4 - 2,amenities,Unmapped
52461,queen br5 - 1,view,Unmapped
86191,Queen BR5 - 1,amenities,Unmapped
52899,queen br5 - 2,view,Unmapped
86205,Queen BR5 - 2,amenities,Unmapped
52715,queen br6 - 1,view,Unmapped
86351,Queen BR6 - 1,amenities,Unmapped
46369,Queen Murphy Bed,amenities,Unmapped
48043,third bedroom bedding - queen,view,Unmapped
67629,Third Bedroom Bedding - Queen,amenities,Unmapped
