id,ext_name,type,facility_name
55507,bed-king total - 1,view,Unmapped
76014,Bed-King Total - 1,amenities,Unmapped
73061,bed-king total - 2,view,Unmapped
76960,Bed-King Total - 2,amenities,Unmapped
65505,bed-king total - 3,view,Unmapped
66670,Bed-King Total - 3,amenities,Unmapped
72827,bed-king total - 4,view,Unmapped
76724,Bed-King Total - 4,amenities,Unmapped
48136,bedding 1 - king,view,Unmapped
70220,Bedding 1 - King,amenities,Unmapped
55112,bedding 2 - king,view,Unmapped
70215,Bedding 2 - King,amenities,Unmapped
65186,bedding 3 - king,view,Unmapped
66913,Bedding 3 - King,amenities,Unmapped
57531,bedding 4 - king,view,Unmapped
70272,Bedding 4 - King,amenities,Unmapped
46917,bedding bed 1 - king,view,Unmapped
47811,Bedding Bed 1 - King,amenities,Unmapped
59843,bedding bed 1 - swing king,view,Unmapped
80956,Bedding Bed 1 - Swing King,amenities,Unmapped
46918,bedding bed 2 - king,view,Unmapped
74530,Bedding Bed 2 - King,amenities,Unmapped
54675,bedding bed 3 - king,view,Unmapped
74544,Bedding Bed 3 - King,amenities,Unmapped
59876,bedding bed 4 - king,view,Unmapped
79779,Bedding Bed 4 - King,amenities,Unmapped
48647,bedding br 1 - king,view,Unmapped
71023,Bedding BR 1 - King,amenities,Unmapped
59585,bedding br 2 - king,view,Unmapped
71190,Bedding BR 2 - King,amenities,Unmapped
48238,bedding master - king,view,Unmapped
65915,Bedding Master - King,amenities,Unmapped
64750,bedding rm 5 - king,view,Unmapped
88752,Bedding rm 5 - King,amenities,Unmapped
53942,bedding rm1 - king,view,Unmapped
66935,Bedding rm1 - King,amenities,Unmapped
48246,bedding rm2 - king,view,Unmapped
69928,Bedding rm2 - King,amenities,Unmapped
48201,bedding rm3 - king,view,Unmapped
66925,Bedding rm3 - King,amenities,Unmapped
56911,bedding rm4 - king,view,Unmapped
66930,Bedding rm4 - King,amenities,Unmapped
51408,bedding studio - king,view,Unmapped
83091,Bedding Studio - King,amenities,Unmapped
47302,bedrm1 - 1 king,view,Unmapped
83368,BedRm1 - 1 King,amenities,Unmapped
83707,BedRm1 - 1 King,view,Unmapped
84089,BedRm1 - 1 King,amenities,Unmapped
98511,BedRm1 - 1 King,view,Unmapped
98719,BedRm1 - 1 King,amenities,Unmapped
64639,bedrm2 - 1 california king,view,Unmapped
84509,BedRm2 - 1 California King,amenities,Unmapped
52322,bedrm2 - 1 king,view,Unmapped
83459,BedRm2 - 1 King,amenities,Unmapped
52295,bedrm2 - king,view,Unmapped
84486,BedRm2 - King,amenities,Unmapped
47304,bedrm3 - 1 king,view,Unmapped
83730,BedRm3 - 1 King,amenities,Unmapped
52276,bedrm4 - 1 king,view,Unmapped
85185,BedRm4 - 1 King,amenities,Unmapped
48493,bedroom 1 - swing king,view,Unmapped
66150,Bedroom 1 - Swing King,amenities,Unmapped
48496,bedroom 2 - king,view,Unmapped
70348,Bedroom 2 - King,amenities,Unmapped
49070,bedroom 2 - swing king,view,Unmapped
70618,Bedroom 2 - Swing King,amenities,Unmapped
48502,bedroom 3 - king,view,Unmapped
70360,Bedroom 3 - King,amenities,Unmapped
48984,bedroom 4 - king,view,Unmapped
70510,Bedroom 4 - King,amenities,Unmapped
49048,bedroom 5 - king,view,Unmapped
70521,Bedroom 5 - King,amenities,Unmapped
49634,bedroom 6 - king,view,Unmapped
70711,Bedroom 6 - King,amenities,Unmapped
49185,bedroom 7 - king,view,Unmapped
70515,Bedroom 7 - King,amenities,Unmapped
51507,br 1 bed1 - king,view,Unmapped
66859,BR 1 Bed1 - King,amenities,Unmapped
52018,br 2 bed1 - king,view,Unmapped
89300,BR 2 Bed1 - King,amenities,Unmapped
64203,br 3 bed1 - king,view,Unmapped
92094,BR 3 Bed1 - King,amenities,Unmapped
62379,br 4 bed1 - king,view,Unmapped
89358,BR 4 Bed1 - King,amenities,Unmapped
62366,br 5 bed1 - king,view,Unmapped
90513,BR 5 Bed1 - King,amenities,Unmapped
62372,br 6 bed1 - king,view,Unmapped
90509,BR 6 Bed1 - King,amenities,Unmapped
51069,guest bedroom 1 - king,view,Unmapped
86909,Guest Bedroom 1 - King,amenities,Unmapped
59910,guest bedroom 2 - king,view,Unmapped
86903,Guest Bedroom 2 - King,amenities,Unmapped
50919,guest bedroom 3 - king,view,Unmapped
86946,Guest Bedroom 3 - King,amenities,Unmapped
59962,guest bedroom 4 - king,view,Unmapped
86938,Guest Bedroom 4 - King,amenities,Unmapped
59967,guest bedroom 5 - 2 king,view,Unmapped
86941,Guest Bedroom 5 - 2 King,amenities,Unmapped
60006,guest bedroom 5 - king,view,Unmapped
88496,Guest Bedroom 5 - King,amenities,Unmapped
59968,guest bedroom 6 - king,view,Unmapped
86937,Guest Bedroom 6 - King,amenities,Unmapped
48059,guest bedroom bedding - king,view,Unmapped
67510,Guest Bedroom Bedding - King,amenities,Unmapped
48510,king - 1,view,Unmapped
66146,King - 1,amenities,Unmapped
48755,king - 2,view,Unmapped
70345,King - 2,amenities,Unmapped
48526,king - 3,view,Unmapped
70479,King - 3,amenities,Unmapped
49328,king - 4,view,Unmapped
70762,King - 4,amenities,Unmapped
49013,king - 5,view,Unmapped
70537,King - 5,amenities,Unmapped
49204,king - 6,view,Unmapped
70517,King - 6,amenities,Unmapped
39265,king - downstairs,view,Unmapped
52429,king br1 - 1,view,Unmapped
86115,King BR1 - 1,amenities,Unmapped
52431,king br2 - 1,view,Unmapped
86207,King BR2 - 1,amenities,Unmapped
52433,king br3 - 1,view,Unmapped
86422,King BR3 - 1,amenities,Unmapped
53102,king br4 - 1,view,Unmapped
86312,King BR4 - 1,amenities,Unmapped
53430,king br5 - 1,view,Unmapped
86319,King BR5 - 1,amenities,Unmapped
53432,king br6 - 1,view,Unmapped
86316,King BR6 - 1,amenities,Unmapped
53495,king br7 - 1,view,Unmapped
86625,King BR7 - 1,amenities,Unmapped
40209,king ensuite,view,Unmapped
86038,Loft Additional Bedding - King,view,Unmapped
99426,Loft Additional Bedding - King,amenities,Unmapped
44892,Master - Splilt King,amenities,Unmapped
44837,Master - Split King,amenities,Unmapped
46876,master bedroom bedding - king,view,Unmapped
46896,Master Bedroom Bedding - King,amenities,Unmapped
80116,other bedding - king,view,Unmapped
88828,Other Bedding - King,amenities,Unmapped
39662,split king,view,Unmapped
39663,split king,amenities,Unmapped
67261,third bedroom bedding - king,view,Unmapped
68553,Third Bedroom Bedding - King,amenities,Unmapped
