nid,uid,calendar_status,available_days_30,available_days_60,available_days_90,available_days_180,available_days_365,note
76.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
79.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
80.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
82.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
86.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
95.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
237.0,142.0,open,0.0,0.0,0.0,0.0,0.0,
350.0,386.0,open,17.0,32.0,57.0,134.0,174.0,
711.0,1400.0,blocked,21.0,51.0,81.0,160.0,345.0,
771.0,1400.0,blocked,0.0,0.0,0.0,0.0,0.0,
820.0,1400.0,open,0.0,0.0,0.0,0.0,0.0,
862.0,1400.0,blocked,0.0,0.0,0.0,0.0,0.0,
936.0,1461.0,open,3.0,3.0,3.0,3.0,6.0,
983.0,1461.0,open,0.0,0.0,0.0,0.0,0.0,
1191.0,1261.0,blocked,0.0,0.0,0.0,0.0,0.0,
2179.0,3.0,open,0.0,0.0,0.0,0.0,0.0,
3068.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
3772.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3773.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3775.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3776.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3777.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3778.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3783.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3794.0,4136.0,open,0.0,0.0,0.0,0.0,0.0,
3798.0,4136.0,open,0.0,0.0,0.0,0.0,0.0,
3819.0,4136.0,open,0.0,0.0,3.0,3.0,3.0,
3846.0,4136.0,open,0.0,0.0,0.0,0.0,0.0,
4103.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
4115.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
4125.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
5816.0,7454.0,blocked,0.0,0.0,0.0,0.0,0.0,
5891.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
5894.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
5918.0,7454.0,blocked,0.0,0.0,0.0,0.0,27.0,
6160.0,9127.0,open,0.0,0.0,0.0,0.0,0.0,
6166.0,9127.0,open,0.0,0.0,0.0,0.0,0.0,
